year month SPO_NOAA_insitu SPO_NOAA_flask SPO_SIO_O2_flask SPO_SIO_CDK_flask SPO_CSIRO_flask HBA_NOAA_flask SYO_NOAA_flask SYO_TU_insitu MAA_CSIRO_flask CYA_CSIRO_flask PSA_NOAA_flask PSA_SIO_O2_flask DRP_NOAA_flask MQA_CSIRO_flask CRZ_NOAA_flask BHD_NIWA_insitu CGO_NOAA_flask CGO_SIO_O2_flask CGO_CSIRO_flask AMS_LSCE_insitu CPT_SAWS_insitu
1998 1 406.2676 406.2487 406.2332 406.2311 406.188 406.2586 NA 406.2479 406.267 406.2783 406.2825 406.3426 NA 406.2823 406.221 NA 406.5293 406.5338 406.5389 406.4513 406.6943
1998 2 406.4575 406.4182 406.359 406.3595 406.3347 406.4016 NA 406.4725 406.4864 406.524 406.5808 406.5694 NA 406.6605 406.4869 406.9411 406.6016 406.5816 406.5888 406.7847 407.2613
1998 3 406.6921 406.6312 406.6303 406.6312 406.6059 406.6737 NA 406.7073 406.6514 406.7112 406.8421 406.7784 NA 406.7728 406.757 407.3021 407.0055 407.198 406.932 406.9726 407.3883
1998 4 406.9633 406.914 406.8746 406.874 406.8006 406.9433 NA 406.9834 407.0642 406.9854 407.0268 407.1852 NA 407.056 407.2005 407.4696 407.2254 407.2946 407.1759 407.3799 407.6862
1998 5 407.3284 407.2781 407.2481 407.2519 407.1833 407.3397 NA 407.3224 407.3151 407.4127 407.4742 407.4424 NA 407.4596 407.3809 NA 407.6746 407.3129 407.6848 407.5782 407.8405
1998 6 407.6643 407.595 407.6068 407.6088 407.4908 407.6557 NA 407.6572 407.6957 407.6757 407.7843 407.6822 NA 407.8242 407.7101 407.9904 407.7954 407.7734 407.83 407.8228 408.2448
1998 7 407.9403 407.9672 407.8502 407.8495 407.7677 407.9688 NA 407.9701 408.0293 407.8673 407.9622 407.9844 NA 407.9653 407.9882 408.254 408.1351 408.1804 408.0848 408.2012 408.476
1998 8 408.2499 408.2188 408.2168 408.2069 408.1236 408.2784 NA 408.2921 408.3502 408.2806 408.323 408.3234 NA 408.2495 408.2648 408.6044 408.7115 408.9068 408.7155 408.4899 408.7213
1998 9 408.5441 408.5198 408.4596 408.461 408.461 408.5478 NA 408.5657 408.5481 408.5174 408.521 408.462 NA 408.6526 408.5323 408.716 408.6764 408.7248 408.7272 408.7506 408.9155
1998 10 408.7815 408.7727 408.753 408.758 NA 408.8044 NA 408.7947 408.7858 408.7724 408.8095 408.7622 NA 408.9517 408.9269 NA 408.9645 408.9144 408.9635 408.9804 409.2011
1998 11 409.007 409.0237 409.0064 409.0074 409.0099 409.0049 NA 409.0233 408.9925 409.0253 409.0467 409.0989 NA 409.0877 409.1071 409.2389 409.3038 409.3888 409.352 409.1836 409.3853
1998 12 409.1879 409.1902 409.1724 409.1724 NA 409.2007 NA 409.1939 409.2201 409.1907 409.218 409.272 NA 409.3495 409.2655 409.4219 409.3623 409.2691 409.3574 409.397 409.6348
1999 1 409.3848 409.362 409.3795 409.38 409.2546 409.3874 409.4273 409.3726 409.3516 409.3649 409.4736 409.393 NA 409.4229 409.408 409.9412 409.771 410.0341 409.6652 409.5947 409.9199
1999 2 409.5814 409.5547 409.5184 409.5692 409.4431 409.5791 409.6284 409.5923 409.5684 409.6257 409.5875 409.6029 NA 409.8258 NA 409.8442 409.9537 409.9004 409.8742 409.8578 410.1108
1999 3 409.8212 409.7393 409.7421 409.6683 409.6683 409.8588 409.8494 409.8645 409.8802 409.837 410.0015 409.9495 NA 409.8357 410.0207 410.2606 410.1942 410.2145 410.1701 410.2013 410.5266
1999 4 410.1213 410.1059 410.0673 410.1029 410.0302 410.1935 410.0149 410.1167 410.1382 NA 410.2971 410.269 NA 410.2881 NA 410.5193 410.4853 410.6111 410.4343 410.4983 410.8195
1999 5 410.4698 410.4582 410.3574 410.3573 410.2565 410.4699 410.4312 410.473 410.4823 410.5497 410.552 410.5736 NA 410.5335 410.6142 410.6422 410.7927 410.6747 410.7955 410.6883 411.0742
1999 6 410.7673 410.7499 410.7341 NA NA 410.7232 410.6781 410.7729 410.7447 410.7835 410.8369 410.8643 NA 411.0232 410.9189 411.1165 411.0888 410.9942 411.0485 411.005 411.3045
1999 7 411.0287 411.0129 410.9675 410.9675 410.9059 411.041 410.9806 411.0317 411.0457 411.058 411.1461 411.1059 NA 411.1813 NA 411.2339 411.4382 NA 411.2858 411.2011 411.5621
1999 8 411.3794 411.335 411.2892 411.2892 411.2208 411.3453 411.3719 411.3932 411.3236 411.3995 411.3461 411.3515 NA 411.416 NA 411.6836 411.768 411.6361 411.7805 411.5664 411.7943
1999 9 411.6771 411.6469 411.6196 411.6203 411.5644 411.686 411.6537 411.6722 411.5785 411.6337 411.7133 411.7356 NA 411.8264 NA 411.9279 412.0464 412.1306 412.1235 411.8626 412.0422
1999 10 411.9491 411.9155 411.8832 411.8831 411.799 411.9333 411.9115 411.9238 411.9317 412.0011 411.9689 412.0128 NA 412.0009 NA NA 412.1874 412.1975 412.1827 412.1156 412.4233
1999 11 412.1297 412.1065 412.1318 412.0852 412.0874 412.1173 412.1366 412.1271 412.1328 412.1595 412.1583 412.2376 NA 412.1779 NA 412.3414 412.2635 412.2652 412.2078 412.2669 412.5094
1999 12 412.2809 412.2877 412.2515 412.2474 412.257 412.2844 412.294 412.2743 412.2837 412.2932 412.3357 412.3965 NA 412.264 412.3711 412.4177 412.5387 412.5657 412.5087 412.4878 412.9048
2000 1 412.4266 412.4656 412.4264 412.4269 412.3702 412.4493 412.41 412.4504 NA 412.4229 412.4306 412.4036 NA 412.463 NA 412.6166 412.843 413.1619 412.9222 412.7292 412.9427
2000 2 412.6235 412.6594 412.5846 412.6418 412.5243 412.6796 412.6301 412.6332 412.7647 412.527 412.7509 412.8204 NA 412.752 412.9046 413.1594 413.299 413.3911 413.132 412.9763 413.4361
2000 3 412.9897 412.9797 412.9189 NA 412.8496 412.9561 413.0245 412.9124 412.8514 412.867 413.0024 413.1033 NA 412.9177 413.098 413.2125 413.2385 413.279 413.2815 413.3095 413.8702
2000 4 413.2656 413.2346 413.1736 413.174 413.1095 413.25 413.3035 413.3066 413.2947 413.1791 413.3641 413.3828 NA 413.6619 413.356 413.5565 413.8068 413.8284 413.8096 413.5981 414.06
2000 5 413.5957 413.5762 413.5309 413.5306 413.5046 413.6461 413.6277 413.5895 413.5326 NA 413.6961 413.6611 NA 413.7585 413.8151 414.1501 413.8687 413.7712 413.8768 413.8981 414.2734
2000 6 413.9479 413.9163 413.8749 413.8753 413.7974 413.9543 414.0518 413.9656 413.873 NA 413.9693 413.9655 NA 414.0879 414.1325 414.5896 414.2949 414.2196 414.3166 414.2131 414.5543
2000 7 414.2522 414.2587 414.1849 414.1863 414.1409 414.255 414.3305 414.2682 414.2105 NA 414.274 414.3644 NA 414.3206 414.2945 414.4243 414.5193 414.5892 414.514 414.4948 414.8346
2000 8 414.5501 414.5265 414.4893 414.4893 414.4516 414.5078 414.6037 414.5498 414.4294 NA 414.6172 414.6836 NA 414.5456 414.5463 414.839 414.7903 414.7592 414.7701 414.7461 415.1953
